"Date","Price","Open","High","Low","Vol.","Change %"
"01/16/2015","17,250","17,375","17,600","17,250","2.43M","-1.00%"
"01/15/2015","17,425","17,450","17,550","17,325","3.63M","-0.14%"
"01/14/2015","17,450","17,450","17,700","17,425","3.95M","-0.14%"
"01/13/2015","17,475","17,225","17,475","17,075","4.52M","2.34%"
"01/12/2015","17,075","17,100","17,150","17,000","2.45M","-0.15%"
"01/09/2015","17,100","16,900","17,275","16,900","1.94M","1.18%"
"01/08/2015","16,900","17,150","17,150","16,900","2.01M","-0.73%"
"01/07/2015","17,025","17,000","17,075","16,875","1.42M","0.44%"
"01/06/2015","16,950","16,875","17,075","16,850","3.47M","0.44%"
"01/05/2015","16,875","17,350","17,350","16,850","2.32M","-2.46%"
"01/02/2015","17,300","17,375","17,375","17,200","984.80K","-0.29%"
"12/30/2014","17,350","17,300","17,350","17,200","2.65M","0.87%"
"12/29/2014","17,200","17,250","17,300","17,175","1.36M","0.29%"
"12/24/2014","17,150","17,150","17,400","17,075","1.56M","-0.58%"
"12/23/2014","17,250","17,350","17,475","17,250","2.01M","0.00%"
"12/22/2014","17,250","17,150","17,350","17,150","1.60M","0.73%"
"12/19/2014","17,125","17,400","17,525","17,125","4.49M","-1.01%"
"12/18/2014","17,300","17,350","17,500","17,200","3.24M","0.29%"
"12/17/2014","17,250","16,750","17,250","16,650","3.47M","3.92%"
"12/16/2014","16,600","16,600","16,850","16,425","5.75M","-1.48%"
"12/15/2014","16,850","17,000","17,000","16,800","3.32M","-1.46%"
"12/12/2014","17,100","17,150","17,350","17,100","3.06M","-0.73%"
"12/11/2014","17,225","17,375","17,425","17,150","4.06M","-1.01%"
"12/10/2014","17,400","17,750","17,750","17,325","4.10M","-1.14%"
"12/09/2014","17,600","17,550","17,700","17,450","3.59M","0.28%"
"12/08/2014","17,550","17,675","17,900","17,425","3.58M","-0.71%"
"12/05/2014","17,675","17,900","18,000","17,675","3.40M","-1.26%"
"12/04/2014","17,900","17,500","18,000","17,475","5.46M","2.87%"
"12/03/2014","17,400","17,950","18,000","17,300","10.03M","-3.06%"
"12/02/2014","17,950","17,950","18,150","17,875","5.67M","0.14%"
"12/01/2014","17,925","18,275","18,275","17,850","7.04M","-2.18%"
"11/28/2014","18,325","18,325","18,450","18,225","4.67M","-0.68%"
"11/27/2014","18,450","18,300","18,525","18,300","2.78M","1.51%"
"11/26/2014","18,175","18,000","18,275","18,000","5.84M","2.68%"
"11/25/2014","17,700","18,650","18,700","17,700","5.11M","-5.35%"
"11/24/2014","18,700","18,350","18,750","18,350","6.97M","2.33%"
"11/21/2014","18,275","18,775","18,800","18,050","8.46M","-3.05%"
"11/20/2014","18,850","19,150","19,150","18,675","4.96M","-2.20%"
"11/19/2014","19,275","18,950","19,350","18,950","4.65M","1.72%"
"11/18/2014","18,950","18,675","19,050","18,650","3.56M","1.61%"
"11/17/2014","18,650","19,000","19,150","18,550","4.05M","-2.86%"
"11/14/2014","19,200","19,100","19,200","18,850","3.60M","1.05%"
"11/13/2014","19,000","18,750","19,000","18,500","4.01M","2.70%"
"11/12/2014","18,500","19,100","19,100","18,475","3.86M","-3.27%"
"11/11/2014","19,125","19,100","19,300","18,975","5.23M","0.92%"
"11/10/2014","18,950","19,000","19,150","18,850","2.36M","0.53%"
"11/07/2014","18,850","18,875","19,075","18,700","2.77M","-1.18%"
"11/06/2014","19,075","18,625","19,150","18,400","8.13M","2.55%"
"11/05/2014","18,600","17,925","18,650","17,900","7.55M","4.06%"
"11/04/2014","17,875","18,000","18,275","17,800","4.52M","-2.59%"
"11/03/2014","18,350","18,425","18,900","18,050","7.26M","-0.14%"
"10/31/2014","18,375","17,950","18,500","17,950","17.67M","3.96%"
"10/30/2014","17,675","17,750","17,750","17,450","4.49M","0.00%"
"10/29/2014","17,675","17,100","17,725","16,875","5.28M","3.67%"
"10/28/2014","17,050","16,875","17,225","16,825","4.97M","0.59%"
"10/27/2014","16,950","17,750","17,800","16,925","3.85M","-3.97%"
"10/24/2014","17,650","18,000","18,000","17,575","3.85M","-1.53%"
"10/23/2014","17,925","17,550","17,925","17,475","6.45M","2.58%"
"10/22/2014","17,475","17,450","17,575","17,275","5.24M","1.30%"
"10/21/2014","17,250","17,700","17,725","17,250","3.58M","-1.15%"
"10/20/2014","17,450","17,500","17,700","17,450","5.66M","1.16%"
"10/17/2014","17,250","17,250","17,475","17,200","11.24M","0.44%"
"10/16/2014","17,175","16,725","17,475","16,700","8.42M","-0.15%"
"10/15/2014","17,200","18,250","18,300","17,100","14.52M","-4.44%"
"10/14/2014","18,000","18,125","18,225","18,000","4.51M","-1.10%"
"10/13/2014","18,200","18,900","18,900","18,150","5.42M","-4.96%"
"10/10/2014","19,150","19,000","19,175","18,800","2.98M","-0.91%"
"10/09/2014","19,325","19,700","19,975","19,275","3.88M","-0.51%"
"10/08/2014","19,425","20,050","20,150","19,425","4.06M","-5.01%"
"10/07/2014","20,450","20,175","20,575","19,825","4.28M","2.25%"
"10/06/2014","20,000","19,350","20,000","19,350","3.90M","4.85%"
"10/03/2014","19,075","19,175","19,275","19,025","3.20M","-1.04%"
"10/02/2014","19,275","19,625","19,700","19,175","4.19M","-2.90%"
"10/01/2014","19,850","19,900","20,025","19,850","2.13M","-0.25%"
"09/30/2014","19,900","20,000","20,100","19,825","4.21M","-1.00%"
"09/29/2014","20,100","20,050","20,250","19,875","3.45M","-0.25%"
"09/26/2014","20,150","20,500","20,500","20,075","2.62M","-2.54%"
"09/25/2014","20,675","20,800","20,850","20,400","3.11M","0.36%"
"09/24/2014","20,600","20,400","20,875","20,400","2.33M","0.61%"
"09/23/2014","20,475","20,850","20,900","20,450","2.36M","-2.27%"
"09/22/2014","20,950","20,900","21,025","20,800","2.18M","-0.95%"
"09/19/2014","21,150","20,775","21,150","20,675","3.97M","1.81%"
"09/18/2014","20,775","20,700","20,775","20,500","1.50M","0.85%"
"09/17/2014","20,600","20,475","20,700","20,475","1.96M","1.10%"
"09/16/2014","20,375","20,550","20,800","20,325","2.95M","-0.37%"
